Protein1,Protein2,InteractionProbability
TMM17_HUMAN,STX6_HUMAN,0.49
LAMP1_HUMAN,RL39_HUMAN,0.49
CENPA_HUMAN,RING1_HUMAN,0.49
PLRKT_HUMAN,ADCY9_HUMAN,0.49
CCD94_HUMAN,4EBP1_HUMAN,0.49
CPNE8_HUMAN,LTOR2_HUMAN,0.49
CCNA1_HUMAN,CCNE1_HUMAN,0.0
PDK1_HUMAN,ERAL1_HUMAN,0.49
EPN1_HUMAN,HGS_HUMAN,0.0
TGON2_HUMAN,FYV1_HUMAN,0.49
RIF1_HUMAN,THOC6_HUMAN,0.49
MET_HUMAN,RND1_HUMAN,0.0
SODM_HUMAN,MDHC_HUMAN,0.49
IP3KB_HUMAN,PLCB1_HUMAN,0.0
SFXN1_HUMAN,ETFB_HUMAN,0.49
NICA_HUMAN,SRS11_HUMAN,0.49
SERPH_HUMAN,ZFR_HUMAN,0.49
BET1_HUMAN,VANG1_HUMAN,0.49
TM216_HUMAN,EFNB2_HUMAN,0.49
SF3B1_HUMAN,SYEP_HUMAN,0.49
TP53B_HUMAN,NR2C2_HUMAN,0.49
PDK1_HUMAN,RT29_HUMAN,0.49
SCO1_HUMAN,COX5A_HUMAN,0.49
DDX17_HUMAN,PROSC_HUMAN,0.49
UBP7_HUMAN,VAMP2_HUMAN,0.49
MINA_HUMAN,EXOC7_HUMAN,0.49
RORG_HUMAN,PRGC1_HUMAN,0.49
GCR_HUMAN,TCAL2_HUMAN,0.49
COTL1_HUMAN,MDHM_HUMAN,0.49
SPRC_HUMAN,A4_HUMAN,0.49
CDC20_HUMAN,CHK1_HUMAN,0.0
AKIP_HUMAN,HCD2_HUMAN,0.49
OCRL_HUMAN,PI4KB_HUMAN,0.0
BRCA1_HUMAN,FANCF_HUMAN,0.49
TECT3_HUMAN,TM41A_HUMAN,0.49
AT1B1_HUMAN,NDUS3_HUMAN,0.49
SMAD2_HUMAN,SURF6_HUMAN,0.49
CENPJ_HUMAN,SMG7_HUMAN,0.49
KPSH2_HUMAN,PSMD2_HUMAN,0.49
TBC23_HUMAN,GLRX3_HUMAN,0.49
CNTRL_HUMAN,TNR6B_HUMAN,0.49
TRM1_HUMAN,VATB1_HUMAN,0.49
NOP58_HUMAN,DDX56_HUMAN,0.49
BABA1_HUMAN,USP9Y_HUMAN,0.0
SFXN1_HUMAN,SCMC2_HUMAN,0.49
MDC1_HUMAN,CCDC9_HUMAN,0.49
NHP2_HUMAN,NOP58_HUMAN,0.49
LAMP2_HUMAN,MCM7_HUMAN,0.49
NINL_HUMAN,LUZP1_HUMAN,0.49
GOGA2_HUMAN,MTA1_HUMAN,0.49
NMD3_HUMAN,GDIA_HUMAN,0.49
TECT3_HUMAN,CERS1_HUMAN,0.49
RM15_HUMAN,RM55_HUMAN,0.49
H2B1C_HUMAN,TERF2_HUMAN,0.49
CH60_HUMAN,GT251_HUMAN,0.49
PYRG1_HUMAN,PUS7_HUMAN,0.49
CYB5B_HUMAN,SYVC_HUMAN,0.49
FBRL_HUMAN,GLYR1_HUMAN,0.49
FAK1_HUMAN,SOS1_HUMAN,0.0
ENPL_HUMAN,SYMC_HUMAN,0.49
AT5F1_HUMAN,NDUS2_HUMAN,0.49
RB_HUMAN,AP1AR_HUMAN,0.49
UAP1_HUMAN,AGM1_HUMAN,0.49
RPC1_HUMAN,RPB1_HUMAN,0.49
TOM20_HUMAN,CYB5B_HUMAN,0.49
HSPB1_HUMAN,CX048_HUMAN,0.49
GOGA2_HUMAN,SIN3B_HUMAN,0.49
H2B1C_HUMAN,DYL2_HUMAN,0.49
SAE2_HUMAN,FOXK1_HUMAN,0.49
TRI14_HUMAN,HDAC2_HUMAN,0.49
TGON2_HUMAN,NOP16_HUMAN,0.49
RT18B_HUMAN,UBR5_HUMAN,0.49
SCO1_HUMAN,NUCG_HUMAN,0.49
NSUN2_HUMAN,SYAC_HUMAN,0.49
SKP2_HUMAN,UXT_HUMAN,0.49
IL1R2_HUMAN,NFKB1_HUMAN,0.0
MDM2_HUMAN,NFM_HUMAN,0.49
PPCE_HUMAN,HS105_HUMAN,0.49
RBM14_HUMAN,TPBG_HUMAN,0.49
RL35A_HUMAN,RL39_HUMAN,0.49
PPAC_HUMAN,TALDO_HUMAN,0.49
MED6_HUMAN,MED16_HUMAN,0.49
BET1_HUMAN,EMD_HUMAN,0.49
RL19_HUMAN,RS17_HUMAN,0.49
FLT3_HUMAN,PIM1_HUMAN,0.0
H2B1C_HUMAN,DGC14_HUMAN,0.49
IF4E_HUMAN,VINC_HUMAN,0.49
ADCY2_HUMAN,ADCY9_HUMAN,0.0
KDM4B_HUMAN,H4_HUMAN,0.23
ERBB3_HUMAN,SMUF1_HUMAN,0.0
PURA_HUMAN,RFC2_HUMAN,0.49
DDX17_HUMAN,SF3A1_HUMAN,0.49
XPP1_HUMAN,ELOC_HUMAN,0.49
STAT6_HUMAN,KDM3A_HUMAN,0.49
H2B1C_HUMAN,RECQ1_HUMAN,0.49
STIL_HUMAN,TNPO1_HUMAN,0.49
TIM8A_HUMAN,TIM10_HUMAN,0.49
TMM17_HUMAN,DSC2_HUMAN,0.49
RFA1_HUMAN,TFAM_HUMAN,0.49
RL34_HUMAN,RL28_HUMAN,0.49
VGFR3_HUMAN,VEGFB_HUMAN,0.0
LAMP1_HUMAN,EPN2_HUMAN,0.49
NU160_HUMAN,MAN1_HUMAN,0.49
CTDSL_HUMAN,NEB1_HUMAN,0.49
ATP5I_HUMAN,RS21_HUMAN,0.49
PYR1_HUMAN,RS3_HUMAN,0.49
RS5_HUMAN,HBS1L_HUMAN,0.49
SCLT1_HUMAN,LYPL1_HUMAN,0.49
POLI_HUMAN,UBA1_HUMAN,0.49
RBM4_HUMAN,TM189_HUMAN,0.49
THOC4_HUMAN,PABP4_HUMAN,0.49
CE152_HUMAN,GSDMA_HUMAN,0.49
RS27A_HUMAN,RS5_HUMAN,0.49
TF2B_HUMAN,NSUN2_HUMAN,0.49
DCC_HUMAN,COR2A_HUMAN,0.49
UBP18_HUMAN,MLF1_HUMAN,0.49
AMOT_HUMAN,NIPS1_HUMAN,0.49
GIPC1_HUMAN,AT2B4_HUMAN,0.49
PRDX6_HUMAN,TIM9_HUMAN,0.49
KYNU_HUMAN,PO210_HUMAN,0.49
OFD1_HUMAN,IFT57_HUMAN,0.49
EFTU_HUMAN,RL12_HUMAN,0.49
IL3RB_HUMAN,SOCS5_HUMAN,0.0
RBMS1_HUMAN,SOSB1_HUMAN,0.49
H2B1C_HUMAN,PMS2_HUMAN,0.49
DKC1_HUMAN,QCR2_HUMAN,0.49
ACO13_HUMAN,PTPA_HUMAN,0.49
GBG1_HUMAN,M3K7_HUMAN,0.0
TR61B_HUMAN,GATB_HUMAN,0.49
OFD1_HUMAN,TBK1_HUMAN,0.49
RNPS1_HUMAN,S10A9_HUMAN,0.49
H2B1C_HUMAN,PHF2_HUMAN,0.49
WNK1_HUMAN,MPP9_HUMAN,0.49
TECT3_HUMAN,PDIA1_HUMAN,0.49
SYK_HUMAN,TRM1_HUMAN,0.49
NICA_HUMAN,RL1D1_HUMAN,0.49
BABA1_HUMAN,PSMD1_HUMAN,0.0
TOM22_HUMAN,VP13D_HUMAN,0.49
WD51A_HUMAN,AP4B1_HUMAN,0.49
CALCR_HUMAN,NUDC_HUMAN,0.49
TRRAP_HUMAN,MED23_HUMAN,0.49
MSH2_HUMAN,SNUT1_HUMAN,0.49
MGT4B_HUMAN,S26A2_HUMAN,0.49
AHI1_HUMAN,IQCB1_HUMAN,0.49
RL4_HUMAN,SND1_HUMAN,0.49
NOMO1_HUMAN,PLEC_HUMAN,0.49
GORS2_HUMAN,GLYM_HUMAN,0.49
FBRL_HUMAN,MAGD2_HUMAN,0.49
TOM20_HUMAN,SUFU_HUMAN,0.49
TRM1_HUMAN,TWF1_HUMAN,0.49
MGST3_HUMAN,RM02_HUMAN,0.49
KPCD_HUMAN,TEBP_HUMAN,0.49
H2B1C_HUMAN,BRD1_HUMAN,0.49
TP53B_HUMAN,RBM10_HUMAN,0.49
TR61B_HUMAN,ODP2_HUMAN,0.49
I20RA_HUMAN,SOCS7_HUMAN,0.0
CE104_HUMAN,CYBP_HUMAN,0.49
H2B1C_HUMAN,ZKSC4_HUMAN,0.49
NDUB7_HUMAN,PHB2_HUMAN,0.49
RS4X_HUMAN,RL35A_HUMAN,0.49
PPARG_HUMAN,GRDN_HUMAN,0.49
NDUV1_HUMAN,TCOF_HUMAN,0.49
TRI14_HUMAN,AKP8L_HUMAN,0.49
ANGL4_HUMAN,A4_HUMAN,0.49
TM216_HUMAN,EMC8_HUMAN,0.49
MAT1_HUMAN,TF2H4_HUMAN,0.49
BET1_HUMAN,S38A2_HUMAN,0.49
ODFP2_HUMAN,ANR28_HUMAN,0.49
RLA0_HUMAN,RS7_HUMAN,0.49
ANTR1_HUMAN,LYOX_HUMAN,0.49
RS8_HUMAN,RL38_HUMAN,0.49
WDR36_HUMAN,DUS3L_HUMAN,0.49
HCD2_HUMAN,CYBP_HUMAN,0.49
CETN2_HUMAN,TCPE_HUMAN,0.49
ARFP1_HUMAN,ECH1_HUMAN,0.49
TRI14_HUMAN,LARP4_HUMAN,0.49
PAF1_HUMAN,SRRM1_HUMAN,0.49
SCO1_HUMAN,TTC19_HUMAN,0.49
BABA1_HUMAN,PSMD5_HUMAN,0.0
UBE4B_HUMAN,CHIP_HUMAN,0.49
PSB7_HUMAN,S10A9_HUMAN,0.49
MET_HUMAN,SH3G1_HUMAN,0.0
UBP7_HUMAN,VPS53_HUMAN,0.49
SRS10_HUMAN,SNUT2_HUMAN,0.49
IL5RA_HUMAN,SOCS7_HUMAN,0.0
FBRL_HUMAN,LTV1_HUMAN,0.49
E2F3_HUMAN,ZC11A_HUMAN,0.07
ICLN_HUMAN,NDRG1_HUMAN,0.49
TMM17_HUMAN,AKAP5_HUMAN,0.49
TECT3_HUMAN,TM109_HUMAN,0.49
H4_HUMAN,LRWD1_HUMAN,0.49
VDAC2_HUMAN,NDUV1_HUMAN,0.49
TECT3_HUMAN,NGBR_HUMAN,0.49
CD4_HUMAN,STAT3_HUMAN,0.0
CK083_HUMAN,FLOT2_HUMAN,0.49
AKIP_HUMAN,SLIRP_HUMAN,0.49
TM216_HUMAN,TEX2_HUMAN,0.49
GPD1L_HUMAN,TPIS_HUMAN,0.49
EPN1_HUMAN,UB2V1_HUMAN,0.49
UBXN1_HUMAN,UFC1_HUMAN,0.49
H2B1C_HUMAN,CENPC_HUMAN,0.49
SEM6A_HUMAN,SMAD2_HUMAN,0.49
MGST3_HUMAN,PPCEL_HUMAN,0.49
B9D2_HUMAN,RBM20_HUMAN,0.49
PLRKT_HUMAN,TDRKH_HUMAN,0.49
RS20_HUMAN,RRP7A_HUMAN,0.49
PSA5_HUMAN,PEPL_HUMAN,0.49
BAIP2_HUMAN,MDM2_HUMAN,0.49
IL3RB_HUMAN,P85B_HUMAN,0.0
ANDR_HUMAN,GSE1_HUMAN,0.49
AIFM1_HUMAN,P5CR2_HUMAN,0.49
TBCA_HUMAN,UPAR_HUMAN,0.49
CO4A2_HUMAN,ITA9_HUMAN,0.0
NINL_HUMAN,PKHG1_HUMAN,0.49
MYO5A_HUMAN,MYL6B_HUMAN,0.0
DGKH_HUMAN,PLCB4_HUMAN,0.0
ACAD9_HUMAN,RM01_HUMAN,0.49
SSRP1_HUMAN,KAP0_HUMAN,0.49
TRAP1_HUMAN,RS19_HUMAN,0.49
ABL2_HUMAN,MDM2_HUMAN,0.49
MMGT1_HUMAN,ODP2_HUMAN,0.49
H2B1C_HUMAN,PHC2_HUMAN,0.49
PUR6_HUMAN,RPIA_HUMAN,0.49
LAMP2_HUMAN,TCP4_HUMAN,0.49
PEX5_HUMAN,DCMC_HUMAN,0.49
RSMB_HUMAN,IL7RA_HUMAN,0.49
LAMP1_HUMAN,RFTN1_HUMAN,0.49
H2B1C_HUMAN,EME1_HUMAN,0.49
TXND9_HUMAN,UBR7_HUMAN,0.49
SNX31_HUMAN,NUDC2_HUMAN,0.49
KHDR1_HUMAN,DLG1_HUMAN,0.49
KPCI_HUMAN,TRADD_HUMAN,0.0
FBF1_HUMAN,CATB_HUMAN,0.49
TOM20_HUMAN,NU107_HUMAN,0.49
RL7_HUMAN,RS21_HUMAN,0.49
RS27A_HUMAN,TEBP_HUMAN,0.49
TM216_HUMAN,VAS1_HUMAN,0.49
PRP6_HUMAN,SON_HUMAN,0.49
TECT2_HUMAN,TBL2_HUMAN,0.49
TMM17_HUMAN,NGAP_HUMAN,0.49
WNK1_HUMAN,RMD3_HUMAN,0.49
CTDSL_HUMAN,CTNA1_HUMAN,0.49
RPC1_HUMAN,RM24_HUMAN,0.49
CE164_HUMAN,SSRP1_HUMAN,0.49
H2B1C_HUMAN,RECQ1_HUMAN,0.49
GCR_HUMAN,HNRDL_HUMAN,0.49
SMCA4_HUMAN,H4_HUMAN,0.49
VTA1_HUMAN,SYDC_HUMAN,0.49
TPX2_HUMAN,ZN598_HUMAN,0.49
LAGE3_HUMAN,PUM1_HUMAN,0.49
PSA2_HUMAN,EXOS2_HUMAN,0.49
GOGA2_HUMAN,SP130_HUMAN,0.49
INP4B_HUMAN,P85B_HUMAN,0.0
PRDC1_HUMAN,RTN3_HUMAN,0.49
NINL_HUMAN,FR1OP_HUMAN,0.49
MRE11_HUMAN,AIDA_HUMAN,0.49
SC22B_HUMAN,SEPT9_HUMAN,0.49
RBM40_HUMAN,RS3A_HUMAN,0.49
RL17_HUMAN,SAHH3_HUMAN,0.49
TMM17_HUMAN,CP51A_HUMAN,0.49
INAR1_HUMAN,SOCS2_HUMAN,0.0
DDX28_HUMAN,RM52_HUMAN,0.49
MPP10_HUMAN,UT14A_HUMAN,0.49
SYDC_HUMAN,OTU6A_HUMAN,0.49
H2B1C_HUMAN,REN3B_HUMAN,0.49
RANB3_HUMAN,AURKA_HUMAN,0.49
RM12_HUMAN,XRCC1_HUMAN,0.49
ITA11_HUMAN,TENA_HUMAN,0.0
CSTF2_HUMAN,K1143_HUMAN,0.49
RBM14_HUMAN,RBM8A_HUMAN,0.49
SAR1A_HUMAN,HEM3_HUMAN,0.49
RS27_HUMAN,RL18_HUMAN,0.49
TOM22_HUMAN,STBD1_HUMAN,0.49
ZFR_HUMAN,SMAD2_HUMAN,0.49
H2B1C_HUMAN,KI18A_HUMAN,0.49
RT29_HUMAN,RT23_HUMAN,0.49
PROSC_HUMAN,ARBK1_HUMAN,0.49
NDUA2_HUMAN,SPRE_HUMAN,0.49
SMD1_HUMAN,TPR_HUMAN,0.49
CCND1_HUMAN,STAT6_HUMAN,0.0
LAMP1_HUMAN,MYH14_HUMAN,0.49
WD51A_HUMAN,F161A_HUMAN,0.49
WD51A_HUMAN,LUZP1_HUMAN,0.49
CE128_HUMAN,NCK5L_HUMAN,0.49
COX14_HUMAN,P5CR2_HUMAN,0.49
CENPJ_HUMAN,SC23B_HUMAN,0.49
CRK_HUMAN,SOCS3_HUMAN,0.0
BABA1_HUMAN,CSN3_HUMAN,0.0
LCA5_HUMAN,MAP7_HUMAN,0.49
PCM1_HUMAN,XRN1_HUMAN,0.49
RPE_HUMAN,TALDO_HUMAN,0.49
DNJB2_HUMAN,UBA1_HUMAN,0.49
SBP1_HUMAN,SUCA_HUMAN,0.49
CNTRB_HUMAN,EPIPL_HUMAN,0.49
FSCN1_HUMAN,ASSY_HUMAN,0.49
NDUB9_HUMAN,RPN1_HUMAN,0.49
PSA1_HUMAN,S10A4_HUMAN,0.49
TCPD_HUMAN,TXNL1_HUMAN,0.49
DCTN1_HUMAN,NEBL_HUMAN,0.49
EPN1_HUMAN,KIT_HUMAN,0.0
TP53B_HUMAN,TCP4_HUMAN,0.49
CE128_HUMAN,NDEL1_HUMAN,0.49
TR61B_HUMAN,RT09_HUMAN,0.49
H2B1C_HUMAN,MRGBP_HUMAN,0.49
TR61B_HUMAN,RT07_HUMAN,0.49
LSM5_HUMAN,MI4GD_HUMAN,0.49
LBN_HUMAN,SPCS3_HUMAN,0.49
ILF2_HUMAN,MI4GD_HUMAN,0.49
MPCP_HUMAN,PYC_HUMAN,0.49
BRCA1_HUMAN,MCPH1_HUMAN,0.49
PRP19_HUMAN,SRP14_HUMAN,0.49
BET1_HUMAN,S39AE_HUMAN,0.49
PFD5_HUMAN,TSSC1_HUMAN,0.49
VINC_HUMAN,LRRN2_HUMAN,0.49
XPP1_HUMAN,MYG1_HUMAN,0.49
PSA6_HUMAN,TCPG_HUMAN,0.49
LBN_HUMAN,BAP31_HUMAN,0.49
ILF3_HUMAN,SSRA_HUMAN,0.49
LAMP1_HUMAN,LYRIC_HUMAN,0.49
SNAA_HUMAN,TRM6_HUMAN,0.49
SSRA_HUMAN,TCPB_HUMAN,0.49
FABD_HUMAN,RUSD2_HUMAN,0.49
ASNS_HUMAN,UBA1_HUMAN,0.49
MRP2_HUMAN,RM10_HUMAN,0.49
CNTRB_HUMAN,LUZP1_HUMAN,0.49
NEK8_HUMAN,AIP_HUMAN,0.49
CE170_HUMAN,UN45A_HUMAN,0.49
PSA5_HUMAN,TYSY_HUMAN,0.49
IL21R_HUMAN,SOCS5_HUMAN,0.0
BRCA1_HUMAN,TRI33_HUMAN,0.49
NK1R_HUMAN,TRFR_HUMAN,0.0
CTNA1_HUMAN,SFRP4_HUMAN,0.49
EPM2A_HUMAN,UBA1_HUMAN,0.49
CE128_HUMAN,NGAP_HUMAN,0.49
TGON2_HUMAN,DEN4C_HUMAN,0.49
SYK_HUMAN,SAMD9_HUMAN,0.49
HTRA2_HUMAN,ASSY_HUMAN,0.49
RGS11_HUMAN,CDC37_HUMAN,0.49
PRP4_HUMAN,LKHA4_HUMAN,0.49
RS25_HUMAN,FOS_HUMAN,0.49
CPLX1_HUMAN,PSMD2_HUMAN,0.49
FBRL_HUMAN,DIM1_HUMAN,0.49
TM216_HUMAN,SCRB1_HUMAN,0.49
CD2B2_HUMAN,PSF3_HUMAN,0.49
ACADS_HUMAN,CLIC4_HUMAN,0.49
AKIP_HUMAN,SSBP_HUMAN,0.49
ALDOC_HUMAN,SF01_HUMAN,0.49
TBX22_HUMAN,STIP1_HUMAN,0.49
DNJB2_HUMAN,UB2V1_HUMAN,0.49
AIFM1_HUMAN,TIM10_HUMAN,0.49
WDR33_HUMAN,ZN622_HUMAN,0.49
TPIS_HUMAN,VINC_HUMAN,0.49
UBP16_HUMAN,H4_HUMAN,0.49
AKIP_HUMAN,TECR_HUMAN,0.49
H2B1C_HUMAN,TERF2_HUMAN,0.49
AN13D_HUMAN,UB2V1_HUMAN,0.49
UBP34_HUMAN,UFM1_HUMAN,0.49
DDX42_HUMAN,PIN4_HUMAN,0.49
NINL_HUMAN,MPP9_HUMAN,0.49
RL36_HUMAN,RS5_HUMAN,0.49
PHF5A_HUMAN,RBM25_HUMAN,0.49
SAS6_HUMAN,GPTC1_HUMAN,0.49
EFTU_HUMAN,RM11_HUMAN,0.49
P4K2B_HUMAN,P85B_HUMAN,0.0
TFCP2_HUMAN,RBBP6_HUMAN,0.49
CNTRL_HUMAN,CLH1_HUMAN,0.49
LMNA_HUMAN,EMC2_HUMAN,0.49
ZFAN6_HUMAN,CDV3_HUMAN,0.49
RL34_HUMAN,RL7A_HUMAN,0.49
ILF3_HUMAN,PCAT1_HUMAN,0.49
MTAP_HUMAN,LYPA2_HUMAN,0.49
IFT57_HUMAN,SMAD2_HUMAN,0.49
TMM17_HUMAN,MSPD2_HUMAN,0.49
AK1A1_HUMAN,G6PI_HUMAN,0.49
MED4_HUMAN,ODB2_HUMAN,0.49
GCR_HUMAN,H2AW_HUMAN,0.49
ITA2_HUMAN,TENA_HUMAN,0.0
TOM22_HUMAN,MTX2_HUMAN,0.49
TGON2_HUMAN,STX5_HUMAN,0.49
ODFP2_HUMAN,TTK_HUMAN,0.49
NHRF1_HUMAN,CADH2_HUMAN,0.49
PHF5A_HUMAN,SF3B5_HUMAN,0.49
ELAV1_HUMAN,STIP1_HUMAN,0.49
C1TC_HUMAN,SF3B3_HUMAN,0.49
HNRDL_HUMAN,LS14A_HUMAN,0.49
H2B1C_HUMAN,TOPB1_HUMAN,0.49
DDX18_HUMAN,UTP20_HUMAN,0.49
CNTRB_HUMAN,AURKA_HUMAN,0.49
DIAP1_HUMAN,MTOR_HUMAN,0.49
NPHP1_HUMAN,SEC63_HUMAN,0.49
REC8_HUMAN,CHIP_HUMAN,0.49
DCA13_HUMAN,TBL3_HUMAN,0.49
VDAC2_HUMAN,GPX4_HUMAN,0.49
BRCA1_HUMAN,RFA2_HUMAN,0.49
H2B1C_HUMAN,CC71L_HUMAN,0.49
CH60_HUMAN,DUT_HUMAN,0.49
TM216_HUMAN,4F2_HUMAN,0.49
RNPS1_HUMAN,RL10A_HUMAN,0.49
COX41_HUMAN,ETFA_HUMAN,0.49
ITAX_HUMAN,FAK1_HUMAN,0.0
CSTF2_HUMAN,SH3K1_HUMAN,0.49
PUR9_HUMAN,A16A1_HUMAN,0.49
MSH2_HUMAN,SRSF7_HUMAN,0.49
SRS11_HUMAN,RBM25_HUMAN,0.49
CC14A_HUMAN,MPP9_HUMAN,0.49
TM237_HUMAN,COPA_HUMAN,0.49
SMAD2_HUMAN,MKS1_HUMAN,0.49
BET1_HUMAN,RT18B_HUMAN,0.49
TNR4_HUMAN,RC3H1_HUMAN,0.49
ICT1_HUMAN,SYNE2_HUMAN,0.49
DDTL_HUMAN,PSME2_HUMAN,0.49
TGON2_HUMAN,ARFG2_HUMAN,0.49
RL36L_HUMAN,RS27_HUMAN,0.49
TMM17_HUMAN,STIM2_HUMAN,0.49
CDC5L_HUMAN,SON_HUMAN,0.49
ODFP2_HUMAN,CEP72_HUMAN,0.49
TOM20_HUMAN,WDR41_HUMAN,0.49
PKN1_HUMAN,PPM1G_HUMAN,0.49
RM43_HUMAN,RS18_HUMAN,0.49
TECT2_HUMAN,TMM43_HUMAN,0.49
EPS15_HUMAN,PRP17_HUMAN,0.0
CE128_HUMAN,TPGS1_HUMAN,0.49
TP53B_HUMAN,TERF1_HUMAN,0.49
IL2RG_HUMAN,TYK2_HUMAN,0.0
SPRE_HUMAN,PEBP1_HUMAN,0.49
MGST3_HUMAN,ACOT2_HUMAN,0.49
H2B1C_HUMAN,PPM1G_HUMAN,0.49
H4_HUMAN,ORC3_HUMAN,0.49
UFD1_HUMAN,RTCB_HUMAN,0.49
EF1D_HUMAN,RL18_HUMAN,0.49
CLD11_HUMAN,CLD5_HUMAN,0.0
VASN_HUMAN,ZCH18_HUMAN,0.49
E2F3_HUMAN,NUP98_HUMAN,0.07
ITA3_HUMAN,TENR_HUMAN,0.0
FERM2_HUMAN,ZYX_HUMAN,0.49
ILF2_HUMAN,RL5_HUMAN,0.49
CDV3_HUMAN,FIS1_HUMAN,0.49
FTM_HUMAN,TNR6B_HUMAN,0.49
RL19_HUMAN,RL34_HUMAN,0.49
MED23_HUMAN,RPB1_HUMAN,0.49
STIP1_HUMAN,UBP18_HUMAN,0.49
RXRB_HUMAN,MCFD2_HUMAN,0.49
GALE_HUMAN,ARMC1_HUMAN,0.49
CPIN1_HUMAN,TWF1_HUMAN,0.49
EHD2_HUMAN,TCPH_HUMAN,0.49
BET1_HUMAN,NU188_HUMAN,0.49
TECT2_HUMAN,PLCA_HUMAN,0.49
YKT6_HUMAN,MEMO1_HUMAN,0.49
SMCA4_HUMAN,TOP2B_HUMAN,0.49
ETFA_HUMAN,HERC2_HUMAN,0.49
NUDC_HUMAN,TLE6_HUMAN,0.49
RL24_HUMAN,STRAP_HUMAN,0.49
TECT2_HUMAN,KCNRG_HUMAN,0.49
ILF3_HUMAN,RNPS1_HUMAN,0.49
TCTE1_HUMAN,MTUS1_HUMAN,0.49
RABE1_HUMAN,UACA_HUMAN,0.49
RHOD_HUMAN,VAV2_HUMAN,0.0
OFD1_HUMAN,NCK5L_HUMAN,0.49
ILF3_HUMAN,RL15_HUMAN,0.49
PK3CA_HUMAN,RRAS_HUMAN,0.0
RL37A_HUMAN,RS27A_HUMAN,0.49
LBN_HUMAN,NUDC_HUMAN,0.49
DAZP1_HUMAN,SNX3_HUMAN,0.49
CDK7_HUMAN,TAF4_HUMAN,0.49
TRI14_HUMAN,PCBP2_HUMAN,0.49
TMM17_HUMAN,ESYT2_HUMAN,0.49
NR4A1_HUMAN,CENPB_HUMAN,0.49
BET1_HUMAN,SNX6_HUMAN,0.49
SODM_HUMAN,PDIA1_HUMAN,0.49
NDUA7_HUMAN,RS28_HUMAN,0.49
TM216_HUMAN,PCAT1_HUMAN,0.49
PDC6I_HUMAN,MIF_HUMAN,0.49
LSMD1_HUMAN,API5_HUMAN,0.49
SFXN1_HUMAN,MICU1_HUMAN,0.49
RS15_HUMAN,RL35A_HUMAN,0.49
DDB1_HUMAN,NCOA5_HUMAN,0.49
BCCIP_HUMAN,GRWD1_HUMAN,0.49
DCTN1_HUMAN,PDZ11_HUMAN,0.49
ATPA_HUMAN,RPN2_HUMAN,0.49
UBE2H_HUMAN,UFC1_HUMAN,0.49
AKIP_HUMAN,RL8_HUMAN,0.49
ANAG_HUMAN,TMED9_HUMAN,0.49
AMPH_HUMAN,PK3CA_HUMAN,0.0
NUDT9_HUMAN,MDM2_HUMAN,0.49
NUDC3_HUMAN,IF122_HUMAN,0.49
PPM1H_HUMAN,TPD54_HUMAN,0.49
HNRPM_HUMAN,SF3B3_HUMAN,0.49
COX14_HUMAN,MTX2_HUMAN,0.49
TMM17_HUMAN,CAV1_HUMAN,0.49
ILF2_HUMAN,RM23_HUMAN,0.49
RPGR1_HUMAN,CCD22_HUMAN,0.49
TP53B_HUMAN,CTC1_HUMAN,0.49
GCR_HUMAN,SMRC2_HUMAN,0.49
FBRL_HUMAN,CG050_HUMAN,0.49
IMPA2_HUMAN,INP4B_HUMAN,0.0
EWS_HUMAN,RT63_HUMAN,0.49
TALDO_HUMAN,AK1A1_HUMAN,0.49
IL2RB_HUMAN,TYK2_HUMAN,0.0
TMM17_HUMAN,ADCY9_HUMAN,0.49
CENPA_HUMAN,DDB1_HUMAN,0.49
LMNA_HUMAN,PCNP_HUMAN,0.49
CAR11_HUMAN,CD3Z_HUMAN,0.0
CH60_HUMAN,SARNP_HUMAN,0.49
CNTRL_HUMAN,PCNT_HUMAN,0.49
NOP2_HUMAN,NOLC1_HUMAN,0.49
IRAK1_HUMAN,TRAF2_HUMAN,0.0
TOM34_HUMAN,WDR12_HUMAN,0.49
PIMT_HUMAN,SIAS_HUMAN,0.49
NDUS8_HUMAN,SURF1_HUMAN,0.49
RRFM_HUMAN,SLIRP_HUMAN,0.49
DJC13_HUMAN,AP1G1_HUMAN,0.49
RSSA_HUMAN,TCPD_HUMAN,0.49
SK2L2_HUMAN,PRP16_HUMAN,0.49
EF2_HUMAN,RS5_HUMAN,0.49
MYC_HUMAN,PGFRB_HUMAN,0.0
ATX2_HUMAN,TCPE_HUMAN,0.49
1433E_HUMAN,MACF1_HUMAN,0.49
PDLI5_HUMAN,DNJC8_HUMAN,0.49
CP135_HUMAN,SPA2L_HUMAN,0.49
XPOT_HUMAN,PSA4_HUMAN,0.49
INPP_HUMAN,PLCG1_HUMAN,0.0
SPICE_HUMAN,SYG_HUMAN,0.49
COX41_HUMAN,LACTB_HUMAN,0.49
PLRKT_HUMAN,PDIA4_HUMAN,0.49
ARHG7_HUMAN,PGFRB_HUMAN,0.0
TECT1_HUMAN,GT251_HUMAN,0.49
NIN_HUMAN,DC1L1_HUMAN,0.49
NINL_HUMAN,CSPP1_HUMAN,0.49
SPICE_HUMAN,NOP58_HUMAN,0.49
TR61B_HUMAN,ATPG_HUMAN,0.49
CRK_HUMAN,SETD9_HUMAN,0.49
PP6R2_HUMAN,CYBP_HUMAN,0.49
